cola_p1,cola_p2,dist_p1,dist_p2,decision_correcta
31,11,5.0,12.0,Pala 2
46,30,5.0,12.0,Pala 2
48,23,5.0,12.0,Pala 2
10,13,5.0,12.0,Pala 1
20,44,5.0,12.0,Pala 1
25,24,5.0,12.0,Pala 1
24,33,5.0,12.0,Pala 1
21,2,5.0,12.0,Pala 2
26,23,5.0,12.0,Pala 1
48,41,5.0,12.0,Pala 2
12,8,5.0,12.0,Pala 1
32,25,5.0,12.0,Pala 2
33,19,5.0,12.0,Pala 2
40,39,5.0,12.0,Pala 1
34,9,5.0,12.0,Pala 2
0,18,5.0,12.0,Pala 1
20,2,5.0,12.0,Pala 2
47,23,5.0,12.0,Pala 2
5,4,5.0,12.0,Pala 2
27,2,5.0,12.0,Pala 2
16,26,5.0,12.0,Pala 1
4,15,5.0,12.0,Pala 1
30,48,5.0,12.0,Pala 1
4,14,5.0,12.0,Pala 1
37,34,5.0,12.0,Pala 2
2,11,5.0,12.0,Pala 1
22,40,5.0,12.0,Pala 1
36,43,5.0,12.0,Pala 1
36,25,5.0,12.0,Pala 2
9,46,5.0,12.0,Pala 1
9,33,5.0,12.0,Pala 1
18,22,5.0,12.0,Pala 1
16,30,5.0,12.0,Pala 1
20,49,5.0,12.0,Pala 1
13,19,5.0,12.0,Pala 1
8,11,5.0,12.0,Pala 1
45,22,5.0,12.0,Pala 2
0,3,5.0,12.0,Pala 1
44,22,5.0,12.0,Pala 2
12,47,5.0,12.0,Pala 1
3,47,5.0,12.0,Pala 1
0,0,5.0,12.0,Pala 1
48,24,5.0,12.0,Pala 2
39,1,5.0,12.0,Pala 2
31,29,5.0,12.0,Pala 2
33,2,5.0,12.0,Pala 2
27,20,5.0,12.0,Pala 2
30,24,5.0,12.0,Pala 2
7,19,5.0,12.0,Pala 1
38,48,5.0,12.0,Pala 1
25,21,5.0,12.0,Pala 1
33,20,5.0,12.0,Pala 2
2,32,5.0,12.0,Pala 1
49,37,5.0,12.0,Pala 2
11,14,5.0,12.0,Pala 1
0,45,5.0,12.0,Pala 1
43,14,5.0,12.0,Pala 2
4,45,5.0,12.0,Pala 1
29,24,5.0,12.0,Pala 1
29,20,5.0,12.0,Pala 2
16,23,5.0,12.0,Pala 1
47,4,5.0,12.0,Pala 2
46,5,5.0,12.0,Pala 2
22,48,5.0,12.0,Pala 1
14,42,5.0,12.0,Pala 1
36,47,5.0,12.0,Pala 1
20,43,5.0,12.0,Pala 1
13,46,5.0,12.0,Pala 1
1,22,5.0,12.0,Pala 1
10,3,5.0,12.0,Pala 2
38,26,5.0,12.0,Pala 2
37,17,5.0,12.0,Pala 2
33,20,5.0,12.0,Pala 2
37,27,5.0,12.0,Pala 2
49,34,5.0,12.0,Pala 2
33,21,5.0,12.0,Pala 2
17,39,5.0,12.0,Pala 1
29,22,5.0,12.0,Pala 2
14,2,5.0,12.0,Pala 2
26,39,5.0,12.0,Pala 1
33,49,5.0,12.0,Pala 1
37,9,5.0,12.0,Pala 2
32,24,5.0,12.0,Pala 2
23,48,5.0,12.0,Pala 1
14,7,5.0,12.0,Pala 2
29,10,5.0,12.0,Pala 2
41,4,5.0,12.0,Pala 2
16,44,5.0,12.0,Pala 1
4,36,5.0,12.0,Pala 1
28,44,5.0,12.0,Pala 1
3,37,5.0,12.0,Pala 1
9,28,5.0,12.0,Pala 1
16,4,5.0,12.0,Pala 2
9,8,5.0,12.0,Pala 2
16,47,5.0,12.0,Pala 1
19,1,5.0,12.0,Pala 2
23,0,5.0,12.0,Pala 2
4,39,5.0,12.0,Pala 1
33,29,5.0,12.0,Pala 2
5,10,5.0,12.0,Pala 1
1,27,5.0,12.0,Pala 1
12,43,5.0,12.0,Pala 1
42,11,5.0,12.0,Pala 2
42,38,5.0,12.0,Pala 2
47,25,5.0,12.0,Pala 2
10,12,5.0,12.0,Pala 1
46,7,5.0,12.0,Pala 2
22,27,5.0,12.0,Pala 1
15,29,5.0,12.0,Pala 1
30,8,5.0,12.0,Pala 2
10,38,5.0,12.0,Pala 1
15,30,5.0,12.0,Pala 1
7,20,5.0,12.0,Pala 1
3,46,5.0,12.0,Pala 1
39,33,5.0,12.0,Pala 2
3,30,5.0,12.0,Pala 1
24,24,5.0,12.0,Pala 1
2,11,5.0,12.0,Pala 1
31,0,5.0,12.0,Pala 2
2,21,5.0,12.0,Pala 1
26,39,5.0,12.0,Pala 1
28,36,5.0,12.0,Pala 1
31,46,5.0,12.0,Pala 1
49,0,5.0,12.0,Pala 2
18,0,5.0,12.0,Pala 2
20,41,5.0,12.0,Pala 1
4,41,5.0,12.0,Pala 1
17,20,5.0,12.0,Pala 1
27,14,5.0,12.0,Pala 2
41,16,5.0,12.0,Pala 2
21,21,5.0,12.0,Pala 1
20,37,5.0,12.0,Pala 1
5,34,5.0,12.0,Pala 1
0,44,5.0,12.0,Pala 1
4,15,5.0,12.0,Pala 1
40,7,5.0,12.0,Pala 2
11,46,5.0,12.0,Pala 1
25,16,5.0,12.0,Pala 2
45,16,5.0,12.0,Pala 2
33,25,5.0,12.0,Pala 2
48,12,5.0,12.0,Pala 2
13,16,5.0,12.0,Pala 1
25,37,5.0,12.0,Pala 1
44,16,5.0,12.0,Pala 2
26,47,5.0,12.0,Pala 1
8,13,5.0,12.0,Pala 1
25,44,5.0,12.0,Pala 1
46,5,5.0,12.0,Pala 2
21,34,5.0,12.0,Pala 1
46,45,5.0,12.0,Pala 2
29,13,5.0,12.0,Pala 2
42,46,5.0,12.0,Pala 1
47,7,5.0,12.0,Pala 2
16,14,5.0,12.0,Pala 1
25,26,5.0,12.0,Pala 1
35,12,5.0,12.0,Pala 2
0,48,5.0,12.0,Pala 1
7,30,5.0,12.0,Pala 1
48,34,5.0,12.0,Pala 2
34,5,5.0,12.0,Pala 2
14,4,5.0,12.0,Pala 1
46,21,5.0,12.0,Pala 2
21,48,5.0,12.0,Pala 1
13,22,5.0,12.0,Pala 1
25,24,5.0,12.0,Pala 1
27,33,5.0,12.0,Pala 1
22,25,5.0,12.0,Pala 1
13,46,5.0,12.0,Pala 1
23,4,5.0,12.0,Pala 2
1,25,5.0,12.0,Pala 1
44,19,5.0,12.0,Pala 2
25,5,5.0,12.0,Pala 2
13,5,5.0,12.0,Pala 2
6,49,5.0,12.0,Pala 1
2,17,5.0,12.0,Pala 1
46,3,5.0,12.0,Pala 2
22,16,5.0,12.0,Pala 2
45,13,5.0,12.0,Pala 2
42,13,5.0,12.0,Pala 2
46,12,5.0,12.0,Pala 2
44,6,5.0,12.0,Pala 2
17,43,5.0,12.0,Pala 1
37,14,5.0,12.0,Pala 2
34,18,5.0,12.0,Pala 2
14,42,5.0,12.0,Pala 1
24,46,5.0,12.0,Pala 1
36,43,5.0,12.0,Pala 1
27,34,5.0,12.0,Pala 1
9,16,5.0,12.0,Pala 1
38,34,5.0,12.0,Pala 2
16,18,5.0,12.0,Pala 1
38,19,5.0,12.0,Pala 2
21,35,5.0,12.0,Pala 1
25,34,5.0,12.0,Pala 1
43,31,5.0,12.0,Pala 2
24,47,5.0,12.0,Pala 1
16,43,5.0,12.0,Pala 1
12,39,5.0,12.0,Pala 1
19,23,5.0,12.0,Pala 2
24,16,5.0,12.0,Pala 2
3,6,5.0,12.0,Pala 1
9,42,5.0,12.0,Pala 1
2,49,5.0,12.0,Pala 1
40,0,5.0,12.0,Pala 2
44,34,5.0,12.0,Pala 2
17,31,5.0,12.0,Pala 1
46,35,5.0,12.0,Pala 2
35,12,5.0,12.0,Pala 2
46,5,5.0,12.0,Pala 2
21,13,5.0,12.0,Pala 2
33,36,5.0,12.0,Pala 1
46,47,5.0,12.0,Pala 1
7,14,5.0,12.0,Pala 1
39,46,5.0,12.0,Pala 1
48,3,5.0,12.0,Pala 2
43,39,5.0,12.0,Pala 2
18,15,5.0,12.0,Pala 1
41,27,5.0,12.0,Pala 2
40,15,5.0,12.0,Pala 2
36,3,5.0,12.0,Pala 2
5,44,5.0,12.0,Pala 1
25,25,5.0,12.0,Pala 1
33,27,5.0,12.0,Pala 2
44,31,5.0,12.0,Pala 2
5,44,5.0,12.0,Pala 1
36,1,5.0,12.0,Pala 2
32,30,5.0,12.0,Pala 1
21,2,5.0,12.0,Pala 2
20,7,5.0,12.0,Pala 2
5,23,5.0,12.0,Pala 1
5,14,5.0,12.0,Pala 1
47,42,5.0,12.0,Pala 2
3,30,5.0,12.0,Pala 1
29,8,5.0,12.0,Pala 2
10,38,5.0,12.0,Pala 1
29,44,5.0,12.0,Pala 1
30,1,5.0,12.0,Pala 2
23,7,5.0,12.0,Pala 2
8,6,5.0,12.0,Pala 1
2,43,5.0,12.0,Pala 1
30,38,5.0,12.0,Pala 1
39,41,5.0,12.0,Pala 1
36,15,5.0,12.0,Pala 2
35,34,5.0,12.0,Pala 1
23,29,5.0,12.0,Pala 1
30,9,5.0,12.0,Pala 2
5,37,5.0,12.0,Pala 1
1,17,5.0,12.0,Pala 1
19,49,5.0,12.0,Pala 1
27,4,5.0,12.0,Pala 2
10,28,5.0,12.0,Pala 1
3,38,5.0,12.0,Pala 1
14,33,5.0,12.0,Pala 1
5,42,5.0,12.0,Pala 1
48,44,5.0,12.0,Pala 2
29,22,5.0,12.0,Pala 2
37,4,5.0,12.0,Pala 2
1,29,5.0,12.0,Pala 1
14,5,5.0,12.0,Pala 1
10,45,5.0,12.0,Pala 1
7,43,5.0,12.0,Pala 1
25,3,5.0,12.0,Pala 2
44,28,5.0,12.0,Pala 2
43,22,5.0,12.0,Pala 2
4,5,5.0,12.0,Pala 1
5,31,5.0,12.0,Pala 1
25,41,5.0,12.0,Pala 1
3,17,5.0,12.0,Pala 1
18,14,5.0,12.0,Pala 2
19,39,5.0,12.0,Pala 1
32,31,5.0,12.0,Pala 1
19,8,5.0,12.0,Pala 2
48,36,5.0,12.0,Pala 2
11,9,5.0,12.0,Pala 1
46,19,5.0,12.0,Pala 2
0,5,5.0,12.0,Pala 1
25,47,5.0,12.0,Pala 1
13,2,5.0,12.0,Pala 2
37,41,5.0,12.0,Pala 1
36,10,5.0,12.0,Pala 2
10,42,5.0,12.0,Pala 1
35,16,5.0,12.0,Pala 2
12,31,5.0,12.0,Pala 1
42,3,5.0,12.0,Pala 2
2,3,5.0,12.0,Pala 1
32,16,5.0,12.0,Pala 2
5,40,5.0,12.0,Pala 1
49,18,5.0,12.0,Pala 2
9,4,5.0,12.0,Pala 2
4,31,5.0,12.0,Pala 1
22,21,5.0,12.0,Pala 1
9,5,5.0,12.0,Pala 1
43,34,5.0,12.0,Pala 1
1,21,5.0,12.0,Pala 1
12,0,5.0,12.0,Pala 2
39,19,5.0,12.0,Pala 2
1,21,5.0,12.0,Pala 1
19,47,5.0,12.0,Pala 1
0,10,5.0,12.0,Pala 1
36,12,5.0,12.0,Pala 2
8,41,5.0,12.0,Pala 1
16,2,5.0,12.0,Pala 2
8,8,5.0,12.0,Pala 1
10,11,5.0,12.0,Pala 1
14,22,5.0,12.0,Pala 1
23,13,5.0,12.0,Pala 2
37,32,5.0,12.0,Pala 2
34,17,5.0,12.0,Pala 2
29,48,5.0,12.0,Pala 1
30,40,5.0,12.0,Pala 1
48,8,5.0,12.0,Pala 2
4,22,5.0,12.0,Pala 1
43,9,5.0,12.0,Pala 2
49,18,5.0,12.0,Pala 2
13,46,5.0,12.0,Pala 1
10,4,5.0,12.0,Pala 1
8,46,5.0,12.0,Pala 1
33,22,5.0,12.0,Pala 1
11,29,5.0,12.0,Pala 1
34,24,5.0,12.0,Pala 2
34,27,5.0,12.0,Pala 2
0,33,5.0,12.0,Pala 1
39,44,5.0,12.0,Pala 1
21,47,5.0,12.0,Pala 1
28,46,5.0,12.0,Pala 1
7,24,5.0,12.0,Pala 1
10,9,5.0,12.0,Pala 1
40,13,5.0,12.0,Pala 2
36,41,5.0,12.0,Pala 1
13,45,5.0,12.0,Pala 1
29,29,5.0,12.0,Pala 2
34,40,5.0,12.0,Pala 1
20,24,5.0,12.0,Pala 1
36,13,5.0,12.0,Pala 2
4,34,5.0,12.0,Pala 1
18,47,5.0,12.0,Pala 1
13,33,5.0,12.0,Pala 1
25,9,5.0,12.0,Pala 2
3,34,5.0,12.0,Pala 1
24,10,5.0,12.0,Pala 2
44,10,5.0,12.0,Pala 2
41,20,5.0,12.0,Pala 2
24,20,5.0,12.0,Pala 2
17,21,5.0,12.0,Pala 1
39,44,5.0,12.0,Pala 1
7,6,5.0,12.0,Pala 1
38,16,5.0,12.0,Pala 2
39,1,5.0,12.0,Pala 2
13,11,5.0,12.0,Pala 2
31,41,5.0,12.0,Pala 1
37,17,5.0,12.0,Pala 2
32,10,5.0,12.0,Pala 2
22,15,5.0,12.0,Pala 2
14,48,5.0,12.0,Pala 1
32,17,5.0,12.0,Pala 2
24,34,5.0,12.0,Pala 1
16,25,5.0,12.0,Pala 1
32,15,5.0,12.0,Pala 2
46,5,5.0,12.0,Pala 2
1,43,5.0,12.0,Pala 1
13,42,5.0,12.0,Pala 1
39,46,5.0,12.0,Pala 1
39,46,5.0,12.0,Pala 1
38,47,5.0,12.0,Pala 1
5,41,5.0,12.0,Pala 1
5,11,5.0,12.0,Pala 1
2,12,5.0,12.0,Pala 1
6,3,5.0,12.0,Pala 1
7,38,5.0,12.0,Pala 1
41,1,5.0,12.0,Pala 2
14,25,5.0,12.0,Pala 1
46,26,5.0,12.0,Pala 2
28,26,5.0,12.0,Pala 1
32,14,5.0,12.0,Pala 2
29,7,5.0,12.0,Pala 2
38,6,5.0,12.0,Pala 2
26,46,5.0,12.0,Pala 1
35,45,5.0,12.0,Pala 1
28,39,5.0,12.0,Pala 1
37,11,5.0,12.0,Pala 2
32,12,5.0,12.0,Pala 2
36,42,5.0,12.0,Pala 1
26,16,5.0,12.0,Pala 2
32,16,5.0,12.0,Pala 2
3,35,5.0,12.0,Pala 1
21,20,5.0,12.0,Pala 2
1,7,5.0,12.0,Pala 1
9,4,5.0,12.0,Pala 1
4,25,5.0,12.0,Pala 1
9,15,5.0,12.0,Pala 1
32,35,5.0,12.0,Pala 1
37,27,5.0,12.0,Pala 2
12,28,5.0,12.0,Pala 1
30,46,5.0,12.0,Pala 1
46,11,5.0,12.0,Pala 2
35,36,5.0,12.0,Pala 2
44,29,5.0,12.0,Pala 2
23,22,5.0,12.0,Pala 1
14,15,5.0,12.0,Pala 1
28,13,5.0,12.0,Pala 2
7,9,5.0,12.0,Pala 1
4,6,5.0,12.0,Pala 1
28,44,5.0,12.0,Pala 1
46,36,5.0,12.0,Pala 2
3,28,5.0,12.0,Pala 1
11,2,5.0,12.0,Pala 2
44,14,5.0,12.0,Pala 2
1,35,5.0,12.0,Pala 1
26,46,5.0,12.0,Pala 1
30,45,5.0,12.0,Pala 1
35,18,5.0,12.0,Pala 2
35,12,5.0,12.0,Pala 2
25,41,5.0,12.0,Pala 1
42,20,5.0,12.0,Pala 2
26,36,5.0,12.0,Pala 1
4,26,5.0,12.0,Pala 1
19,28,5.0,12.0,Pala 1
10,19,5.0,12.0,Pala 1
9,24,5.0,12.0,Pala 1
39,5,5.0,12.0,Pala 2
37,35,5.0,12.0,Pala 2
5,1,5.0,12.0,Pala 2
7,21,5.0,12.0,Pala 1
22,31,5.0,12.0,Pala 1
46,15,5.0,12.0,Pala 2
25,17,5.0,12.0,Pala 1
45,4,5.0,12.0,Pala 2
42,35,5.0,12.0,Pala 2
11,29,5.0,12.0,Pala 1
25,44,5.0,12.0,Pala 1
12,18,5.0,12.0,Pala 1
39,22,5.0,12.0,Pala 2
17,33,5.0,12.0,Pala 1
24,12,5.0,12.0,Pala 2
32,42,5.0,12.0,Pala 1
46,28,5.0,12.0,Pala 2
39,35,5.0,12.0,Pala 1
42,21,5.0,12.0,Pala 2
11,46,5.0,12.0,Pala 1
43,35,5.0,12.0,Pala 2
35,8,5.0,12.0,Pala 2
47,38,5.0,12.0,Pala 2
3,18,5.0,12.0,Pala 1
4,37,5.0,12.0,Pala 1
36,5,5.0,12.0,Pala 2
7,46,5.0,12.0,Pala 1
41,14,5.0,12.0,Pala 2
48,19,5.0,12.0,Pala 2
27,8,5.0,12.0,Pala 2
30,31,5.0,12.0,Pala 1
8,3,5.0,12.0,Pala 2
28,49,5.0,12.0,Pala 1
13,17,5.0,12.0,Pala 1
39,4,5.0,12.0,Pala 2
40,19,5.0,12.0,Pala 2
21,22,5.0,12.0,Pala 1
10,10,5.0,12.0,Pala 2
22,36,5.0,12.0,Pala 1
0,21,5.0,12.0,Pala 1
45,3,5.0,12.0,Pala 2
36,28,5.0,12.0,Pala 2
20,43,5.0,12.0,Pala 1
25,33,5.0,12.0,Pala 1
45,12,5.0,12.0,Pala 2
35,41,5.0,12.0,Pala 1
22,8,5.0,12.0,Pala 2
0,41,5.0,12.0,Pala 1
39,30,5.0,12.0,Pala 2
14,6,5.0,12.0,Pala 2
20,3,5.0,12.0,Pala 2
46,18,5.0,12.0,Pala 2
8,41,5.0,12.0,Pala 1
8,29,5.0,12.0,Pala 1
9,30,5.0,12.0,Pala 1
25,34,5.0,12.0,Pala 1
40,20,5.0,12.0,Pala 2
34,30,5.0,12.0,Pala 1
24,18,5.0,12.0,Pala 2
25,30,5.0,12.0,Pala 1
10,31,5.0,12.0,Pala 1
37,1,5.0,12.0,Pala 2
1,9,5.0,12.0,Pala 1
6,1,5.0,12.0,Pala 2
17,1,5.0,12.0,Pala 2
26,23,5.0,12.0,Pala 1
33,16,5.0,12.0,Pala 2
26,31,5.0,12.0,Pala 1
16,15,5.0,12.0,Pala 1
42,15,5.0,12.0,Pala 2
43,45,5.0,12.0,Pala 1
23,38,5.0,12.0,Pala 1
24,30,5.0,12.0,Pala 1
6,42,5.0,12.0,Pala 1
5,23,5.0,12.0,Pala 1
23,0,5.0,12.0,Pala 2
32,10,5.0,12.0,Pala 2
48,20,5.0,12.0,Pala 2
28,3,5.0,12.0,Pala 2
42,6,5.0,12.0,Pala 2
21,25,5.0,12.0,Pala 1
25,46,5.0,12.0,Pala 1
27,49,5.0,12.0,Pala 1
49,11,5.0,12.0,Pala 2
20,30,5.0,12.0,Pala 1
48,16,5.0,12.0,Pala 2
6,32,5.0,12.0,Pala 1
16,10,5.0,12.0,Pala 2
19,27,5.0,12.0,Pala 1
40,31,5.0,12.0,Pala 2
48,0,5.0,12.0,Pala 2
19,46,5.0,12.0,Pala 1
21,27,5.0,12.0,Pala 1
27,41,5.0,12.0,Pala 1
39,6,5.0,12.0,Pala 2
48,1,5.0,12.0,Pala 2
6,41,5.0,12.0,Pala 1
0,23,5.0,12.0,Pala 1
31,3,5.0,12.0,Pala 2
12,43,5.0,12.0,Pala 1
29,18,5.0,12.0,Pala 2
22,25,5.0,12.0,Pala 1
18,10,5.0,12.0,Pala 2
31,39,5.0,12.0,Pala 1
29,49,5.0,12.0,Pala 1
28,42,5.0,12.0,Pala 1
48,10,5.0,12.0,Pala 2
44,44,5.0,12.0,Pala 2
28,2,5.0,12.0,Pala 2
29,11,5.0,12.0,Pala 2
15,2,5.0,12.0,Pala 2
39,41,5.0,12.0,Pala 1
18,26,5.0,12.0,Pala 1
17,48,5.0,12.0,Pala 1
0,1,5.0,12.0,Pala 1
13,48,5.0,12.0,Pala 1
46,15,5.0,12.0,Pala 2
49,1,5.0,12.0,Pala 2
1,29,5.0,12.0,Pala 1
27,19,5.0,12.0,Pala 2
48,37,5.0,12.0,Pala 2
49,27,5.0,12.0,Pala 2
29,24,5.0,12.0,Pala 2
37,31,5.0,12.0,Pala 2
3,9,5.0,12.0,Pala 1
0,41,5.0,12.0,Pala 1
7,39,5.0,12.0,Pala 1
28,32,5.0,12.0,Pala 1
38,12,5.0,12.0,Pala 2
2,40,5.0,12.0,Pala 1
31,41,5.0,12.0,Pala 1
9,46,5.0,12.0,Pala 1
9,36,5.0,12.0,Pala 1
18,15,5.0,12.0,Pala 2
45,44,5.0,12.0,Pala 2
33,21,5.0,12.0,Pala 2
32,19,5.0,12.0,Pala 2
22,49,5.0,12.0,Pala 1
27,42,5.0,12.0,Pala 1
31,26,5.0,12.0,Pala 2
49,40,5.0,12.0,Pala 2
6,15,5.0,12.0,Pala 1
28,33,5.0,12.0,Pala 1
7,31,5.0,12.0,Pala 1
0,25,5.0,12.0,Pala 1
2,24,5.0,12.0,Pala 1
23,1,5.0,12.0,Pala 2
22,11,5.0,12.0,Pala 1
7,39,5.0,12.0,Pala 1
46,8,5.0,12.0,Pala 2
36,11,5.0,12.0,Pala 2
2,25,5.0,12.0,Pala 1
32,8,5.0,12.0,Pala 2
27,9,5.0,12.0,Pala 2
46,31,5.0,12.0,Pala 2
7,33,5.0,12.0,Pala 1
33,47,5.0,12.0,Pala 1
34,19,5.0,12.0,Pala 2
31,38,5.0,12.0,Pala 1
23,1,5.0,12.0,Pala 2
13,0,5.0,12.0,Pala 2
31,35,5.0,12.0,Pala 1
45,23,5.0,12.0,Pala 2
42,26,5.0,12.0,Pala 2
15,1,5.0,12.0,Pala 2
3,30,5.0,12.0,Pala 1
36,13,5.0,12.0,Pala 2
20,1,5.0,12.0,Pala 2
13,28,5.0,12.0,Pala 1
30,14,5.0,12.0,Pala 2
47,11,5.0,12.0,Pala 2
17,36,5.0,12.0,Pala 1
6,27,5.0,12.0,Pala 1
9,19,5.0,12.0,Pala 1
6,38,5.0,12.0,Pala 1
32,23,5.0,12.0,Pala 2
22,20,5.0,12.0,Pala 1
20,9,5.0,12.0,Pala 2
18,45,5.0,12.0,Pala 1
47,13,5.0,12.0,Pala 2
18,36,5.0,12.0,Pala 1
35,17,5.0,12.0,Pala 2
28,23,5.0,12.0,Pala 2
17,13,5.0,12.0,Pala 2
1,33,5.0,12.0,Pala 1
0,11,5.0,12.0,Pala 1
46,21,5.0,12.0,Pala 2
4,5,5.0,12.0,Pala 1
19,35,5.0,12.0,Pala 1
10,44,5.0,12.0,Pala 1
41,35,5.0,12.0,Pala 2
1,21,5.0,12.0,Pala 1
2,13,5.0,12.0,Pala 1
22,15,5.0,12.0,Pala 2
11,35,5.0,12.0,Pala 1
19,24,5.0,12.0,Pala 1
4,31,5.0,12.0,Pala 1
36,32,5.0,12.0,Pala 1
37,44,5.0,12.0,Pala 1
29,35,5.0,12.0,Pala 1
8,19,5.0,12.0,Pala 1
33,17,5.0,12.0,Pala 2
43,37,5.0,12.0,Pala 2
34,2,5.0,12.0,Pala 2
21,22,5.0,12.0,Pala 1
43,31,5.0,12.0,Pala 2
23,44,5.0,12.0,Pala 1
16,15,5.0,12.0,Pala 1
9,4,5.0,12.0,Pala 1
29,3,5.0,12.0,Pala 2
45,20,5.0,12.0,Pala 2
22,39,5.0,12.0,Pala 1
31,13,5.0,12.0,Pala 2
16,38,5.0,12.0,Pala 1
49,30,5.0,12.0,Pala 2
16,13,5.0,12.0,Pala 1
13,5,5.0,12.0,Pala 2
8,11,5.0,12.0,Pala 1
39,15,5.0,12.0,Pala 2
1,16,5.0,12.0,Pala 1
44,44,5.0,12.0,Pala 2
24,22,5.0,12.0,Pala 2
38,13,5.0,12.0,Pala 2
8,6,5.0,12.0,Pala 1
21,45,5.0,12.0,Pala 1
42,31,5.0,12.0,Pala 2
45,14,5.0,12.0,Pala 2
3,43,5.0,12.0,Pala 1
25,16,5.0,12.0,Pala 2
28,40,5.0,12.0,Pala 1
44,46,5.0,12.0,Pala 1
33,43,5.0,12.0,Pala 1
22,33,5.0,12.0,Pala 1
36,4,5.0,12.0,Pala 2
10,44,5.0,12.0,Pala 1
5,26,5.0,12.0,Pala 1
17,22,5.0,12.0,Pala 1
20,39,5.0,12.0,Pala 1
41,13,5.0,12.0,Pala 2
35,14,5.0,12.0,Pala 2
40,42,5.0,12.0,Pala 1
37,32,5.0,12.0,Pala 2
33,30,5.0,12.0,Pala 2
16,34,5.0,12.0,Pala 1
36,16,5.0,12.0,Pala 2
24,27,5.0,12.0,Pala 1
37,18,5.0,12.0,Pala 2
11,45,5.0,12.0,Pala 1
22,22,5.0,12.0,Pala 1
41,31,5.0,12.0,Pala 2
21,39,5.0,12.0,Pala 1
20,12,5.0,12.0,Pala 2
26,19,5.0,12.0,Pala 2
30,34,5.0,12.0,Pala 1
5,4,5.0,12.0,Pala 1
26,8,5.0,12.0,Pala 2
39,28,5.0,12.0,Pala 2
33,5,5.0,12.0,Pala 2
11,24,5.0,12.0,Pala 1
44,30,5.0,12.0,Pala 2
6,21,5.0,12.0,Pala 1
9,1,5.0,12.0,Pala 2
44,44,5.0,12.0,Pala 1
16,4,5.0,12.0,Pala 2
25,26,5.0,12.0,Pala 1
20,24,5.0,12.0,Pala 1
27,7,5.0,12.0,Pala 2
45,0,5.0,12.0,Pala 2
1,19,5.0,12.0,Pala 1
42,43,5.0,12.0,Pala 1
0,22,5.0,12.0,Pala 1
35,31,5.0,12.0,Pala 2
25,10,5.0,12.0,Pala 2
28,38,5.0,12.0,Pala 1
20,46,5.0,12.0,Pala 1
10,23,5.0,12.0,Pala 1
39,10,5.0,12.0,Pala 2
10,28,5.0,12.0,Pala 1
35,25,5.0,12.0,Pala 2
48,15,5.0,12.0,Pala 2
38,34,5.0,12.0,Pala 1
39,19,5.0,12.0,Pala 2
34,45,5.0,12.0,Pala 1
33,2,5.0,12.0,Pala 2
46,0,5.0,12.0,Pala 2
23,46,5.0,12.0,Pala 1
21,0,5.0,12.0,Pala 2
4,16,5.0,12.0,Pala 1
32,1,5.0,12.0,Pala 2
35,28,5.0,12.0,Pala 2
46,19,5.0,12.0,Pala 2
19,5,5.0,12.0,Pala 2
18,7,5.0,12.0,Pala 2
34,28,5.0,12.0,Pala 1
42,47,5.0,12.0,Pala 1
16,32,5.0,12.0,Pala 1
44,2,5.0,12.0,Pala 2
42,34,5.0,12.0,Pala 2
33,4,5.0,12.0,Pala 2
8,26,5.0,12.0,Pala 1
25,43,5.0,12.0,Pala 1
1,11,5.0,12.0,Pala 1
8,19,5.0,12.0,Pala 1
8,44,5.0,12.0,Pala 1
39,19,5.0,12.0,Pala 2
16,8,5.0,12.0,Pala 2
0,38,5.0,12.0,Pala 1
24,3,5.0,12.0,Pala 2
42,18,5.0,12.0,Pala 2
39,37,5.0,12.0,Pala 1
41,26,5.0,12.0,Pala 2
24,44,5.0,12.0,Pala 1
38,42,5.0,12.0,Pala 1
34,12,5.0,12.0,Pala 2
2,12,5.0,12.0,Pala 1
49,21,5.0,12.0,Pala 2
36,27,5.0,12.0,Pala 1
43,46,5.0,12.0,Pala 1
43,44,5.0,12.0,Pala 1
29,21,5.0,12.0,Pala 2
37,42,5.0,12.0,Pala 1
33,18,5.0,12.0,Pala 2
11,7,5.0,12.0,Pala 1
18,7,5.0,12.0,Pala 2
36,41,5.0,12.0,Pala 1
43,25,5.0,12.0,Pala 2
48,47,5.0,12.0,Pala 1
16,25,5.0,12.0,Pala 1
9,22,5.0,12.0,Pala 1
48,42,5.0,12.0,Pala 2
46,12,5.0,12.0,Pala 2
11,27,5.0,12.0,Pala 1
15,8,5.0,12.0,Pala 2
23,19,5.0,12.0,Pala 1
18,18,5.0,12.0,Pala 1
7,47,5.0,12.0,Pala 1
30,38,5.0,12.0,Pala 1
20,11,5.0,12.0,Pala 2
16,14,5.0,12.0,Pala 1
22,30,5.0,12.0,Pala 1
36,13,5.0,12.0,Pala 2
15,10,5.0,12.0,Pala 2
5,25,5.0,12.0,Pala 1
7,41,5.0,12.0,Pala 1
24,26,5.0,12.0,Pala 1
17,10,5.0,12.0,Pala 2
24,37,5.0,12.0,Pala 1
11,33,5.0,12.0,Pala 1
14,42,5.0,12.0,Pala 1
25,18,5.0,12.0,Pala 2
40,5,5.0,12.0,Pala 2
44,45,5.0,12.0,Pala 1
25,37,5.0,12.0,Pala 1
46,48,5.0,12.0,Pala 1
31,41,5.0,12.0,Pala 1
9,27,5.0,12.0,Pala 1
15,0,5.0,12.0,Pala 2
